state_abbr,i_InterventionID,i_Intervention_Name,findings_n,studies_n,weighted_outcome_sample,mean_effect_size_wwc,median_effect_size_wwc,pct_positive_effect_size,mean_improvement_index,intervention_name
IL,117.0,Heartwood Ethics Curriculum/An Ethics Curriculum for Children,7,1,1511.5,0.09188581215146151,0.10074104966565,57.14285714285714,1.8571428571428572,Heartwood Ethics Curriculum/An Ethics Curriculum for Children
IL,214.0,Success for All®,10,1,875.5833333333333,0.15719305656822333,0.206750183071705,57.14285714285714,5.9,Success for All®
IL,277.0,Shared Book Reading,1,1,232.0,,,,3.0,Shared Book Reading
IL,309.0,Accelerated Math® ,8,1,280.54166666666663,0.2946,0.249,100.0,11.6,Accelerated Math® 
IL,380.0,Transition Mathematics,3,1,220.20000000000002,0.19659720964456398,0.167228420541107,100.0,7.666666666666667,Transition Mathematics
IL,393.0,National Guard Youth ChalleNGe Program,1,1,119.60000000000001,,,,23.0,National Guard Youth ChalleNGe Program
IL,552.0,Earobics®,6,1,180.0,0.6015453510032371,0.5989630100161154,100.0,21.833333333333332,Earobics®
IL,621.0,New Chance,1,1,207.9,,,,8.0,New Chance
IL,623.0,JOBSTART,4,1,431.22222222222223,,,,13.75,JOBSTART
IL,1194.0,Integrated Basic Education and Skills Training (I-BEST),18,1,65111.5,0.23332168810568782,0.2574483230484125,80.0,8.9,Integrated Basic Education and Skills Training (I-BEST)
IL,1279.0,Prentice Hall/Pearson Literature© (2007-15),13,2,2750.333333333333,0.0006710857660349243,-0.0079294074023467,46.15384615384615,0.15384615384615385,Prentice Hall/Pearson Literature© (2007-15)
IL,1448.0,Passport Reading Journeys,2,1,962.0,-0.062400534344235155,-0.062400534344235155,0.0,-2.5,Passport Reading Journeys
IL,1581.0,Year Up,1,1,232.375,1.0008220792979,1.0008220792979,100.0,34.0,Year Up
IN,17.0,Saxon Math,1,1,46.5625,0.112191716858976,0.112191716858976,100.0,4.0,Saxon Math
IN,214.0,Success for All®,42,3,4055.5833333333335,0.14138811447043265,0.139290648358915,71.7948717948718,5.404761904761905,Success for All®
IN,232.0,Open Court Reading©,2,1,266.0,0.225892052244969,0.225892052244969,100.0,8.0,Open Court Reading©
IN,309.0,Accelerated Math® ,8,1,280.54166666666663,0.2946,0.249,100.0,11.6,Accelerated Math® 
IN,425.0,Pre-K Mathematics,2,1,446.0,0.19746180526928164,0.19746180526928164,100.0,8.0,Pre-K Mathematics
IN,464.0,Fast ForWord®,2,1,140.0,0.148039806624427,0.148039806624427,100.0,6.0,Fast ForWord®
IN,529.0,Successmaker,23,1,887.7142857142857,0.021395209620030203,0.0159998686824148,52.17391304347826,0.782608695652174,Successmaker
IN,1629.0,Growth Mindset,7,1,1009.0,0.010502641613167487,-0.0417106353051681,28.57142857142857,0.0,Growth Mindset
KS,204.0,Connect with Kids,4,1,46.0,0.4033177938130863,0.374808111244377,100.0,15.5,Connect with Kids
KS,214.0,Success for All®,10,1,875.5833333333333,0.15719305656822333,0.206750183071705,57.14285714285714,5.9,Success for All®
KS,309.0,Accelerated Math® ,8,1,280.54166666666663,0.2946,0.249,100.0,11.6,Accelerated Math® 
KS,316.0,High School Redirection,5,1,1694.0,0.0359832766867201,-0.0131787357111495,33.33333333333333,-0.4,High School Redirection
KS,397.0,Curiosity Corner,9,1,586.3333333333333,,,,2.6666666666666665,Curiosity Corner
KS,529.0,Successmaker,23,1,887.7142857142857,0.021395209620030203,0.0159998686824148,52.17391304347826,0.782608695652174,Successmaker
KS,541.0,ClassWide Peer Tutoring,1,1,218.0,0.34800627074448,0.34800627074448,100.0,14.0,ClassWide Peer Tutoring
